Marital status,Application order,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (pass rate),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (pass rate),Curricular units 2nd sem (grade),Target
1,5,1,1,122.0,19,12,127.3,1,0,0,1,1,0,20,0,0,0,0.0,0.0,0,0,0.0,0.0,0
1,1,1,1,160.0,1,3,142.5,1,0,0,0,1,0,19,0,6,6,1.0,14.0,6,6,1.0,13.666666666666666,1
1,5,1,1,122.0,37,37,124.8,1,0,0,0,1,0,19,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,2,1,1,122.0,38,37,119.6,1,0,0,1,0,0,20,0,6,6,1.0,13.428571428571429,6,5,0.8333333333333334,12.4,1
2,1,0,1,100.0,37,38,141.5,0,0,0,1,0,0,45,0,6,5,0.8333333333333334,12.333333333333334,6,6,1.0,13.0,1
2,1,0,19,133.1,37,37,114.8,0,0,1,1,1,0,50,0,5,5,1.0,11.857142857142858,5,5,1.0,11.5,1
1,1,1,1,142.0,19,38,128.4,1,0,0,1,0,1,18,0,7,7,1.0,13.3,8,8,1.0,14.345,1
1,4,1,1,119.0,37,37,113.1,1,0,0,0,1,0,22,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,3,1,1,137.0,1,1,129.3,0,0,0,1,0,1,21,1,6,6,1.0,13.875,6,6,1.0,14.142857142857142,1
1,1,1,1,138.0,1,19,123.0,1,0,1,0,0,0,18,0,6,5,0.8333333333333334,11.4,6,2,0.3333333333333333,13.5,0
1,1,1,1,139.0,38,19,130.6,1,0,0,1,0,0,18,0,6,6,1.0,12.333333333333334,6,5,0.8333333333333334,14.2,1
1,1,1,1,136.0,19,38,119.3,1,0,0,1,0,1,18,0,8,7,0.875,13.214285714285714,8,7,0.875,13.214285714285714,1
1,2,1,1,133.0,19,37,130.2,1,0,0,1,0,0,19,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,1,1,42,110.0,1,1,111.8,1,0,0,1,0,1,21,0,6,6,1.0,10.571428571428571,6,5,0.8333333333333334,11.0,1
1,1,1,1,149.0,38,37,137.1,1,0,0,1,0,1,18,0,5,4,0.8,13.25,5,5,1.0,12.0,1
1,1,1,1,127.0,19,37,120.7,1,0,0,1,0,0,20,0,6,5,0.8333333333333334,13.2,6,0,0.0,0.0,0
1,1,1,1,137.0,19,38,137.4,1,0,0,1,0,0,18,0,6,1,0.16666666666666666,12.0,6,2,0.3333333333333333,11.0,1
1,2,1,1,135.0,19,1,127.3,1,0,0,1,0,0,18,0,7,7,1.0,13.30625,8,8,1.0,14.545,1
1,1,1,1,137.0,3,19,136.3,1,0,0,1,0,0,20,0,5,4,0.8,12.5,5,4,0.8,12.25,1
1,1,1,1,140.0,19,19,124.6,1,0,0,1,0,0,18,0,7,6,0.8571428571428571,11.666666666666666,7,6,0.8571428571428571,13.5,1
1,3,1,1,122.0,1,1,120.3,0,0,0,1,0,1,21,0,0,0,0.0,0.0,0,0,0.0,0.0,1
1,4,1,1,127.0,1,38,121.8,1,0,0,1,0,0,20,0,7,7,1.0,11.4375,8,8,1.0,11.425,1
1,4,1,1,142.0,19,19,125.5,1,0,0,1,0,0,18,0,8,7,0.875,12.857142857142858,8,7,0.875,12.857142857142858,1
1,4,1,1,125.0,1,38,114.9,1,0,0,1,0,1,19,0,6,6,1.0,13.375,6,6,1.0,12.285714285714286,1
1,1,1,1,126.0,19,19,123.9,0,0,0,1,0,0,19,0,7,6,0.8571428571428571,13.296666666666669,8,7,0.875,14.114285714285714,1
1,1,1,1,151.0,19,38,157.0,1,0,1,1,0,1,18,0,6,5,0.8333333333333334,11.6,6,4,0.6666666666666666,11.0,1
1,2,1,1,115.0,19,38,116.4,1,0,0,1,0,0,21,0,6,6,1.0,11.375,6,6,1.0,13.285714285714286,1
1,1,1,1,138.0,19,19,131.0,1,0,0,1,0,0,18,0,5,5,1.0,12.666666666666666,5,4,0.8,13.0,1
1,1,1,1,135.0,19,1,122.1,1,0,0,1,0,0,20,0,5,5,1.0,12.0,5,5,1.0,12.333333333333334,1
1,2,1,1,127.0,3,3,118.8,1,0,0,1,1,0,19,0,7,6,0.8571428571428571,12.933333333333332,7,6,0.8571428571428571,13.716666666666669,1
1,1,1,39,150.0,4,5,150.0,0,0,0,1,1,0,21,0,6,5,0.8333333333333334,11.857142857142858,6,5,0.8333333333333334,10.571428571428571,1
1,1,1,1,125.0,42,3,130.0,1,0,0,1,1,0,20,0,6,6,1.0,12.833333333333334,6,4,0.6666666666666666,13.4,1
1,1,1,1,143.0,1,1,138.8,0,0,0,0,1,0,18,0,5,3,0.6,11.333333333333334,5,2,0.4,13.5,1
1,1,0,1,138.0,19,1,134.5,1,0,0,1,0,0,19,0,6,6,1.0,12.666666666666666,6,6,1.0,14.375,1
1,1,0,1,130.0,2,37,131.4,0,0,0,1,1,0,34,0,5,5,1.0,12.4,5,5,1.0,13.428571428571429,1
1,1,1,1,130.0,38,37,102.5,0,0,1,0,1,0,37,0,7,0,0.0,0.0,7,1,0.14285714285714285,10.0,0
1,1,1,10,133.1,34,37,128.8,1,0,0,1,1,0,43,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,1,1,1,140.0,37,37,122.9,0,0,0,1,0,0,55,0,5,1,0.2,10.0,5,2,0.4,12.0,0
4,1,0,1,120.0,19,19,113.9,1,0,0,1,0,0,39,0,5,5,1.0,11.0,5,5,1.0,11.6,1
1,1,1,39,120.0,4,4,120.0,0,0,1,0,0,0,20,1,6,3,0.5,11.666666666666666,6,3,0.5,12.0,0
1,5,1,1,126.0,3,3,121.1,0,0,1,1,0,0,18,0,6,4,0.6666666666666666,12.75,5,0,0.0,0.0,0
1,2,1,1,133.0,3,19,120.4,1,0,0,1,0,0,22,0,5,5,1.0,14.8,5,5,1.0,15.8,1
1,6,1,1,103.0,1,3,100.6,1,1,0,1,0,0,22,0,7,5,0.7142857142857143,13.928,8,7,0.875,14.342857142857142,1
1,1,1,1,120.0,1,38,121.4,0,0,0,0,0,0,20,0,6,4,0.6666666666666666,13.0,6,5,0.8333333333333334,13.8,0
1,1,0,1,133.1,37,37,109.7,0,0,0,1,0,0,29,0,5,0,0.0,0.0,5,0,0.0,0.0,0
1,1,0,1,154.0,38,38,134.1,0,0,0,1,0,0,24,0,5,2,0.4,11.5,5,3,0.6,14.333333333333334,1
1,2,1,1,130.0,19,19,127.6,1,0,0,1,0,0,18,0,6,6,1.0,11.666666666666666,6,5,0.8333333333333334,13.2,1
1,6,1,1,132.0,37,19,132.4,1,0,0,1,0,1,22,0,7,6,0.8571428571428571,13.516666666666666,8,7,0.875,13.771428571428572,1
1,1,0,39,130.0,1,19,133.4,0,0,0,1,0,1,21,0,6,6,1.0,11.5,6,6,1.0,13.285714285714286,1
1,1,1,1,139.0,37,38,126.1,0,0,0,1,0,1,19,0,6,5,0.8333333333333334,12.333333333333334,6,6,1.0,12.833333333333334,1
1,1,1,1,130.0,19,38,113.5,0,0,0,1,0,1,24,0,6,6,1.0,13.666666666666666,6,6,1.0,14.166666666666666,1
1,1,1,1,139.0,37,38,121.3,1,0,0,1,0,1,19,0,8,6,0.75,11.833333333333334,8,6,0.75,11.833333333333334,1
1,1,1,1,127.0,1,19,121.8,1,0,0,1,0,1,20,0,6,4,0.6666666666666666,14.0,6,3,0.5,11.0,1
1,3,1,1,167.0,37,37,159.3,0,0,0,1,0,0,19,0,5,5,1.0,14.714285714285714,5,5,1.0,15.8,1
1,1,0,1,130.0,38,38,120.0,0,0,0,1,0,0,27,0,5,5,1.0,10.6,5,5,1.0,11.0,0
1,1,1,1,130.0,1,19,129.1,1,0,0,1,0,0,18,0,7,7,1.0,13.044444444444444,8,8,1.0,13.595,1
2,1,1,3,130.0,1,3,130.0,0,0,0,1,0,0,39,0,6,0,0.0,0.0,6,0,0.0,0.0,0
1,1,1,40,129.0,3,3,155.3,1,0,0,1,0,0,27,0,6,5,0.8333333333333334,13.0,11,10,0.9090909090909091,12.9,0
1,1,1,1,141.0,38,38,139.8,1,0,0,1,0,0,18,0,8,8,1.0,14.935,8,8,1.0,14.935,1
1,3,1,1,125.0,38,37,115.2,1,0,0,1,0,0,18,0,0,0,0.0,0.0,0,0,0.0,0.0,1
1,2,1,1,125.0,19,19,114.9,0,0,0,1,0,0,18,0,7,6,0.8571428571428571,13.133333333333333,8,7,0.875,12.221428571428572,1
1,1,1,39,130.0,19,1,131.9,0,0,0,1,0,1,21,0,6,6,1.0,12.0,6,6,1.0,12.0,1
1,3,1,1,133.0,1,37,126.0,1,0,0,1,1,1,19,0,0,0,0.0,0.0,0,0,0.0,0.0,1
1,1,1,1,127.0,1,1,130.2,1,0,0,1,1,0,19,0,6,5,0.8333333333333334,11.4,6,1,0.16666666666666666,10.0,1
1,1,1,1,116.0,1,1,120.9,0,0,0,1,1,0,24,0,6,0,0.0,0.0,6,0,0.0,0.0,1
